iter	RMSE
0	0.8801234068
1	0.859144631222	0.839492576233	0.821399431344	0.804436396955	0.7886255816	6	0.7741081517	0.7620646954
8	0.7496367694
9	0.7382692817
10	0.727693265
11	0.7176685808
12	0.7085285869
13	0.7001369431
14	0.6924474319
15	0.6853673046
16	0.6787930378
17	0.672763044
18	0.6670910702
19	0.6619071242
20	0.6569141881
21	0.6526975323
22	0.6485411371
23	0.6447379933
24	0.6412531982
25	0.6379785969
26	0.6349587574
27	0.6322473416
28	0.6295940128
29	0.6272270705
30	0.6249683768
31	0.6224616708
32	0.6204015432
33	0.6185798658
34	0.6167338254
35	0.6151790912
36	0.6132158323
37	0.6117546043
38	0.6104092131
39	0.6091119139
40	0.6080452577
41	0.6064929902
42	0.6054754053
43	0.6041762544
44	0.6031689285
45	0.6020871722
46	0.6009840385
47	0.6002040886
48	0.5994673334
49	0.5984598829
50	0.5976860201
51	0.5970803796
52	0.596348068
53	0.5957844125
54	0.595281157
55	0.5943842118
56	0.5937016291
57	0.5932278944
58	0.5927978222
59	0.5921168732
60	0.5917127083
61	0.5912095529
62	0.5906312891
63	0.5899306109
64	0.5895192429
65	0.588878284
66	0.58853088
67	0.5882733986
68	0.5877463686
69	0.5873635271
70	0.5869044886
71	0.5865989759
72	0.5862304505
73	0.5859924474
74	0.5853721662
75	0.584823647
76	0.5846055549
77	0.5840680725
78	0.5836212919
79	0.5834135536
80	0.582914682
81	0.5825106806
82	0.5822842932
83	0.5818338244
84	0.5815911921
85	0.5814490068
86	0.5808211263
87	0.5804324483
88	0.5802409018
89	0.5800725299
90	0.5796917192
91	0.579242688
92	0.5785969648
93	0.5784093042
94	0.5782754227
95	0.5781176436
96	0.5778442641
97	0.5777325212
98	0.5772615114
99	0.5767280099
100	0.5765622106
101	0.5762427398
102	0.575863415
103	0.5753475606
104	0.5752018671
105	0.5749271525
106	0.5744646554
107	0.574195655
108	0.5739233595
109	0.5735170839
110	0.5732328317
111	0.5730126008
112	0.5727766676
113	0.5725866236
114	0.5724180428
115	0.5720027748
116	0.5718162558
117	0.5717113762
118	0.5716107781
119	0.5713097549
120	0.5712022458
121	0.5710302593
122	0.5709274407
123	0.5707813234
124	0.5706200535
125	0.5703822715
126	0.57030537
127	0.5701129927
128	0.569978221
129	0.569606044
130	0.5694787806
131	0.5691281418
132	0.568799622
133	0.5686902609
134	0.5685228963
135	0.5684971237
136	0.5683246824
137	0.5680807695
138	0.567900507
139	0.5677441792
140	0.5676365403
141	0.5675065591
142	0.5674002558
143	0.5672380974
144	0.5671277868
145	0.5669630233
146	0.5668550052
147	0.5666559127
148	0.5665225668
149	0.5664033207
150	0.5663154601
151	0.5662122175
152	0.5660391786
153	0.5658908905
154	0.5657384783
155	0.5656024111
156	0.5654918154
157	0.5654367294
158	0.56530265
159	0.565184175
160	0.5650544792
161	0.5647912497
162	0.5647079804
163	0.5645721848
164	0.5644225328
165	0.5643502973
166	0.5642593161
167	0.5640438488
168	0.5639255336
169	0.5638243619
170	0.5636850408
171	0.5635559461
172	0.5634367674
173	0.5632797964
174	0.5631620548
175	0.5629857059
176	0.5627821084
177	0.5627335845
178	0.5626308651
179	0.5625482338
180	0.5624671839
181	0.5623142705
182	0.5621931738
183	0.5620731684
184	0.5619586623
185	0.5618719092
186	0.5617861812
187	0.5616921332
188	0.5615850545
189	0.5615114577
190	0.5614250682
191	0.5613706933
192	0.5613230474
193	0.5612140054
194	0.561070743
195	0.561032618
196	0.5609298548
197	0.5608358183
198	0.5606519065
199	0.5605461924
200	0.5604545509
201	0.5603147367
202	0.5602095111
203	0.5601425145
204	0.5600749956
205	0.5599648863
206	0.5598678812
207	0.5597917618
208	0.5596996621
209	0.5596572899
210	0.5596107
211	0.5595381616
212	0.5594641936
213	0.5593757842
214	0.5592759579
215	0.5591677753
216	0.5590196769
217	0.5589232458
