iter	Passed	Remaining
0	167	167655
1	320	160072
2	444	147696
3	600	149495
4	723	143998
5	853	141471
6	943	133896
7	1083	134293
8	1199	132028
9	1321	130864
10	1435	129055
11	1543	127111
12	1689	128279
13	1853	130529
14	2161	141948
15	2455	150988
16	2700	156172
17	2869	156541
18	2990	154427
19	3121	152939
20	3265	152245
21	3404	151363
22	3520	149528
23	3663	148975
24	3809	148556
25	3948	147927
26	4080	147060
27	4196	145691
28	4325	144843
29	4472	144625
30	4598	143742
31	4741	143427
32	4901	143616
33	5048	143438
34	5186	142987
35	5309	142171
36	5440	141599
37	5600	141786
38	5761	141976
39	5908	141805
40	6046	141432
41	6192	141242
42	6342	141155
43	6478	140752
44	6594	139959
45	6758	140173
46	6888	139666
47	7039	139618
48	7171	139176
49	7301	138719
50	7442	138487
51	7558	137798
52	7691	137434
53	7847	137469
54	7965	136866
55	8121	136903
56	8275	136910
57	8428	136889
58	8547	136319
59	8705	136387
60	8828	135899
61	8964	135619
62	9167	136355
63	9304	136074
64	9425	135579
65	9570	135442
66	9705	135153
67	9815	134529
68	9920	133859
69	10053	133574
70	10197	133429
71	10319	133001
72	10450	132705
73	10561	132161
74	10698	131946
75	10843	131832
76	10963	131416
77	11095	131152
78	11218	130791
79	11353	130569
80	11501	130487
81	11634	130249
82	11749	129811
83	11873	129474
84	11993	129107
85	12103	128631
86	12253	128590
87	12377	128280
88	12493	127879
89	12632	127725
90	12754	127406
91	12903	127356
92	13059	127362
93	13188	127115
94	13306	126765
95	13442	126581
96	13555	126192
97	13655	125688
98	13786	125470
99	13943	125493
100	14047	125037
101	14173	124786
102	14293	124478
103	14446	124462
104	14582	124298
105	14718	124134
106	14860	124026
107	14970	123646
108	15103	123457
109	15235	123267
110	15348	122922
111	15468	122642
112	15626	122662
113	15736	122305
114	15853	122002
115	15997	121909
116	16114	121618
117	16217	121222
118	16324	120857
119	16457	120684
120	16563	120327
121	16680	120046
122	16880	120356
123	16996	120070
124	17119	119834
125	17251	119668
126	17379	119467
127	17488	119142
128	17616	118944
129	17753	118811
130	17880	118610
131	18043	118652
132	18215	118744
133	18343	118545
134	18503	118561
135	18592	118116
136	18715	117894
137	18842	117698
138	18996	117671
139	19144	117600
140	19295	117550
141	19424	117367
142	19541	117111
143	19675	116960
144	19775	116605
145	19888	116335
146	19994	116021
147	20122	115837
148	20243	115618
149	20366	115407
150	20481	115154
151	20585	114843
152	20709	114646
153	20823	114396
154	20940	114158
155	21063	113956
156	21202	113842
157	21308	113556
158	21419	113292
159	21544	113107
160	21651	112829
161	21791	112725
162	21918	112549
163	22054	112426
164	22210	112397
165	22331	112197
166	22451	111989
167	22587	111863
168	22705	111647
169	22847	111550
170	22985	111430
171	23098	111193
172	23250	111143
173	23423	111195
174	23566	111099
175	23698	110952
176	23839	110847
177	23933	110522
178	24041	110268
179	24154	110039
180	24265	109796
181	24386	109606
182	24506	109409
183	24638	109265
184	24763	109093
185	24936	109130
186	25034	108841
187	25147	108616
188	25291	108524
189	25401	108289
190	25513	108064
191	25619	107816
192	25719	107544
193	25836	107339
194	25971	107216
195	26061	106903
196	26181	106717
197	26311	106575
198	26442	106434
199	26571	106287
200	26681	106062
201	26823	105967
202	26952	105819
203	27068	105620
204	27183	105419
205	27321	105308
206	27431	105089
207	27551	104906
208	27653	104660
209	27771	104475
210	27876	104238
211	28031	104193
212	28139	103970
213	28277	103860
214	28402	103701
215	28537	103580
216	28669	103448
217	28804	103325
218	28905	103084
219	29021	102895
220	29136	102704
221	29253	102519
222	29369	102331
223	29484	102144
224	29628	102054
225	29761	101926
226	29899	101816
227	30021	101652
228	30132	101451
229	30263	101317
230	30393	101180
231	30507	100991
232	30626	100818
233	30724	100577
234	30842	100402
235	30955	100211
236	31081	100065
237	31199	99891
238	31315	99711
239	31435	99546
240	31560	99396
241	31666	99187
242	31784	99016
243	31940	98962
244	32063	98808
245	32219	98753
246	32357	98645
247	32458	98421
248	32646	98464
249	32782	98347
250	32898	98170
251	33022	98018
252	33137	97841
253	33260	97684
254	33395	97566
255	33507	97382
256	33619	97196
257	33723	96988
258	33844	96830
259	33959	96653
260	34078	96489
261	34204	96345
262	34322	96181
263	34426	95978
264	34524	95756
265	34640	95586
266	34769	95452
267	34883	95278
268	35022	95173
269	35176	95106
270	35347	95086
271	35517	95062
272	35652	94942
273	35756	94741
274	35862	94546
275	35961	94334
276	36089	94197
277	36235	94109
278	36444	94181
279	36597	94106
280	36722	93962
281	36871	93878
282	36975	93680
283	37106	93550
284	37232	93408
285	37375	93307
286	37486	93127
287	37630	93030
288	37764	92907
289	37902	92795
290	38029	92656
291	38131	92456
292	38234	92259
293	38358	92112
294	38497	92001
295	38608	91825
296	38725	91662
297	38877	91584
298	38993	91419
299	39111	91259
300	39244	91135
301	39370	90994
302	39492	90845
303	39603	90670
304	39698	90460
305	39825	90324
306	39952	90186
307	40092	90077
308	40239	89984
309	40343	89796
310	40449	89613
311	40603	89535
312	40726	89389
313	40852	89251
314	40967	89087
315	41064	88886
316	41162	88686
317	41291	88556
318	41419	88421
319	41559	88314
320	41692	88190
321	41812	88039
322	41914	87852
323	42032	87696
324	42140	87523
325	42250	87352
326	42359	87180
327	42475	87023
328	42585	86853
329	42710	86714
330	42832	86570
331	42946	86410
332	43081	86293
333	43184	86110
334	43314	85981
335	43443	85852
336	43569	85716
337	43681	85553
338	43783	85372
339	43903	85224
340	44026	85083
341	44129	84904
342	44231	84723
343	44428	84724
344	44551	84583
345	44670	84434
346	44774	84259
347	44886	84097
348	45012	83962
349	45115	83785
350	45233	83637
351	45347	83479
352	45477	83354
353	45594	83203
354	45710	83051
355	45842	82927
356	46007	82865
357	46145	82753
358	46278	82630
359	46393	82476
360	46545	82389
361	46718	82338
362	46888	82280
363	47109	82312
364	47251	82204
365	47365	82047
366	47516	81956
367	47736	81982
368	47896	81904
369	48167	82014
370	48557	82325
371	48766	82326
372	48895	82191
373	49019	82048
374	49175	81959
375	49328	81864
376	49491	81785
377	49648	81697
378	49786	81575
379	49905	81425
380	50008	81247
381	50115	81077
382	50247	80946
383	50402	80853
384	50590	80813
385	50729	80693
386	50895	80617
387	51037	80501
388	51171	80374
389	51291	80225
390	51415	80082
391	51519	79908
